,year,state,id,name,type,population
1255,2010,IA,19,Des Moines/Polk County,Total Homeless,"1,020"
1267,2010,ID,16,Boise/Ada County,Total Homeless,872
1279,2010,ID,16,Idaho Balance of State,Total Homeless,"1,474"
1291,2010,IL,17,McHenry County,Total Homeless,212
1303,2010,IL,17,"Rockford/Winnebago, Boone Counties",Total Homeless,621
1315,2010,IL,17,Waukegan/North Chicago/Lake County,Total Homeless,474
1327,2010,IL,17,Champaign/Urbana/Rantoul/Champaign County,Total Homeless,534
1339,2010,IL,17,Madison County,Total Homeless,202
1351,2010,IL,17,Joliet/Bolingbrook/Will County,Total Homeless,389
1363,2010,IL,17,"Peoria/Perkin/Fulton, Peoria, Tazewell, Woodford",Total Homeless,376
1375,2010,IL,17,East Saint Louis/Belleville/Saint Clair County,Total Homeless,514
1387,2010,IL,17,Dekalb City & County,Total Homeless,118
1399,2010,IL,17,Chicago,Total Homeless,"6,240"
1411,2010,IL,17,Cook County,Total Homeless,"1,390"
1423,2010,IL,17,Bloomington/Central Illinois,Total Homeless,639
1435,2010,IL,17,Springfield/Sangamon County,Total Homeless,287
1447,2010,IL,17,DuPage County,Total Homeless,712
1459,2010,IL,17,South Central Illinois,Total Homeless,190
1471,2010,IL,17,Decatur/Macon County,Total Homeless,197
1483,2010,IL,17,Aurora/Elgin/Kane County,Total Homeless,445
1495,2010,IL,17,Rock Island/Moline/Northwestern Illinois,Total Homeless,392
1507,2010,IL,17,West Central Illinois,Total Homeless,172
1519,2010,IL,17,Southern Illinois,Total Homeless,291
1531,2010,IN,18,South Bend/Mishawaka/St. Joseph County,Total Homeless,641
1543,2010,IN,18,Indiana Balance of State,Total Homeless,"4,317"
1555,2010,IN,18,Indianapolis,Total Homeless,"1,494"
1567,2010,KS,20,Wichita/Sedgwick County,Total Homeless,384
1579,2010,KS,20,Topeka/Shawnee County,Total Homeless,356
1591,2010,KS,20,Overland Park/Shawnee/Johnson County,Total Homeless,210
1603,2010,KS,20,Kansas Balance of State,Total Homeless,859
1615,2010,KY,21,Kentucky Balance of State,Total Homeless,"3,446"
1627,2010,KY,21,Louisville/Jefferson County,Total Homeless,"1,626"
1639,2010,KY,21,Lexington/Fayette County,Total Homeless,"1,551"
1651,2010,LA,22,Lafayette/Acadiana,Total Homeless,731
1663,2010,LA,22,Shreveport/Bossier/Northwest,Total Homeless,830
1675,2010,LA,22,New Orleans/Jefferson Parish,Total Homeless,"8,725"
1687,2010,LA,22,Baton Rouge,Total Homeless,"1,118"
1699,2010,LA,22,Monroe/Northeast Louisiana,Total Homeless,228
1711,2010,LA,22,Slidell/Southeast Louisiana,Total Homeless,357
1723,2010,LA,22,Alexandria/Central Louisiana,Total Homeless,151
1735,2010,LA,22,Houma-Terrebonne/Thibodaux,Total Homeless,270
1747,2010,LA,22,Louisiana Balance of State,Total Homeless,72
1759,2010,MA,25,Boston,Total Homeless,"5,139"
1771,2010,MA,25,"Holyoke/Franklin, Hampden, Hampshire Counties",Total Homeless,"1,881"
1783,2010,MA,25,Lynn,Total Homeless,464
1795,2010,MA,25,Cape Cod/Islands,Total Homeless,504
1807,2010,MA,25,Springfield,Total Homeless,886
1819,2010,MA,25,New Bedford,Total Homeless,374
1831,2010,MA,25,Worcester City & County,Total Homeless,"1,409"
1843,2010,MA,25,Pittsfield/Berkshire County,Total Homeless,280
1855,2010,MA,25,Lowell,Total Homeless,526
1867,2010,MA,25,Cambridge,Total Homeless,559
1879,2010,MA,25,Gloucester/Haverhill/Salem/Essex County,Total Homeless,997
1891,2010,MA,25,Quincy/Brockton/Weymouth/Plymouth City and County,Total Homeless,"1,186"
1903,2010,MA,25,Fall River,Total Homeless,253
1915,2010,MA,25,Massachusetts Balance of State,Total Homeless,"1,462"
1927,2010,MA,25,Somerville,Total Homeless,142
1939,2010,MA,25,Brookline/Newton,Total Homeless,410
1951,2010,MA,25,Attleboro/Taunton/Bristol County,Total Homeless,174
1963,2010,MD,24,Cumberland/Allegany County,Total Homeless,107
1975,2010,MD,24,Baltimore City,Total Homeless,"3,419"
1987,2010,MD,24,Harford County,Total Homeless,228
1999,2010,MD,24,Annapolis/Anne Arundel County,Total Homeless,395
2011,2010,MD,24,Howard County,Total Homeless,221
2023,2010,MD,24,Baltimore County,Total Homeless,891
2035,2010,MD,24,Carroll County,Total Homeless,211
2047,2010,MD,24,Cecil County,Total Homeless,173
2059,2010,MD,24,"Charles, Calvert, St.Mary's Counties",Total Homeless,"2,560"
2071,2010,MD,24,Frederick City & County,Total Homeless,303
2083,2010,MD,24,Garrett County,Total Homeless,11
2095,2010,MD,24,Mid-Shore Regional,Total Homeless,96
2107,2010,MD,24,Hagerstown/Washington County,Total Homeless,137
2119,2010,MD,24,Wicomico/Somerset/Worcester County,Total Homeless,240
2131,2010,MD,24,Prince George`s County/Maryland,Total Homeless,789
2143,2010,MD,24,Montgomery County,Total Homeless,"1,064"
2155,2010,ME,23,Maine Balance of State,Total Homeless,"1,743"
2167,2010,ME,23,Portland,Total Homeless,636
2179,2010,MI,26,Michigan Balance of State,Total Homeless,"2,953"
2191,2010,MI,26,Detroit,Total Homeless,"2,812"
2203,2010,MI,26,Dearborn/Dearborn Heights/Westland/Wayne County,Total Homeless,458
2215,2010,MI,26,St. Clair Shores/Warren/Macomb County,Total Homeless,896
2227,2010,MI,26,Pontiac/Royal Oak/Oakland County,Total Homeless,731
2239,2010,MI,26,Flint/Genesee County,Total Homeless,277
2251,2010,MI,26,Grand Rapids/Wyoming/Kent County,Total Homeless,585
2263,2010,MI,26,Portage/Kalamazoo City & County,Total Homeless,679
2275,2010,MI,26,Lansing/East Lansing/Ingham County,Total Homeless,535
2287,2010,MI,26,Ann Arbor/Washtenaw County,Total Homeless,474
2299,2010,MI,26,Saginaw City & County,Total Homeless,305
2311,2010,MI,26,Lenawee County,Total Homeless,120
2323,2010,MI,26,"Grand Traverse, Antrim, Leelanau Counties",Total Homeless,296
2335,2010,MI,26,"Marquette, Alger Counties",Total Homeless,68
2347,2010,MI,26,Battle Creek/Calhoun County,Total Homeless,186
2359,2010,MI,26,Monroe City & County,Total Homeless,140
2371,2010,MI,26,Norton Shores/Muskegon City & County,Total Homeless,646
2383,2010,MI,26,Jackson City & County,Total Homeless,323
2395,2010,MI,26,Livingston County,Total Homeless,121
2407,2010,MI,26,Holland/Ottawa County,Total Homeless,306
2419,2010,MI,26,Eaton County,Total Homeless,147
2431,2010,MN,27,Minneapolis/Hennepin County,Total Homeless,"3,056"
2443,2010,MN,27,Saint Paul/Ramsey County,Total Homeless,"1,424"
2455,2010,MN,27,Rochester/Southeast Minnesota,Total Homeless,419
2467,2010,MN,27,"Dakota, Anoka, Washington, Scott, Carver Counties",Total Homeless,924
2479,2010,MN,27,Northeast Minnesota,Total Homeless,208
2491,2010,MN,27,St. Cloud/Central Minnesota,Total Homeless,541
2503,2010,MN,27,Northwest Minnesota,Total Homeless,422
2515,2010,MN,27,Moorhead/West Central Minnesota,Total Homeless,278
2527,2010,MN,27,Duluth/St.Louis County,Total Homeless,524
2539,2010,MN,27,Southwest Minnesota,Total Homeless,73
2551,2010,MO,29,St. Louis County,Total Homeless,659
2563,2010,MO,29,St.Louis City,Total Homeless,"1,305"
2575,2010,MO,29,"St. Charles, Lincoln, Warren Counties",Total Homeless,"1,089"
2587,2010,MO,29,"Springfield/Greene, Christian, Webster Counties",Total Homeless,662
2599,2010,MO,29,"Joplin/Jasper, Newton Counties",Total Homeless,393
2611,2010,MO,29,"St. Joseph/Andrew, Buchanan, DeKalb Counties",Total Homeless,164
2623,2010,MO,29,"Kansas City, Independence, Lees Summit/Jackson, Wyandotte Counties, MO & KS",Total Homeless,"2,153"
2635,2010,MO,29,Missouri Balance of State,Total Homeless,"1,912"
2647,2010,MS,28,"Jackson/Rankin, Madison Counties",Total Homeless,914
2659,2010,MS,28,Mississippi Balance of State,Total Homeless,"1,242"
2671,2010,MS,28,Gulf Port/Gulf Coast Regional,Total Homeless,587
2683,2010,MT,30,Montana Statewide,Total Homeless,"1,615"
2695,2010,NC,37,Winston Salem/Forsyth County,Total Homeless,543
2707,2010,NC,37,Asheville/Buncombe County,Total Homeless,516
2719,2010,NC,37,Durham City & County,Total Homeless,675
2731,2010,NC,37,North Carolina Balance of State,Total Homeless,"2,851"
2743,2010,NC,37,Greensboro/High Point,Total Homeless,"1,070"
2755,2010,NC,37,Charlotte/Mecklenberg,Total Homeless,"2,841"
2767,2010,NC,37,"Wilmington/Brunswick, New Hanover, Pender Counties",Total Homeless,678
2779,2010,NC,37,Raleigh/Wake County,Total Homeless,"1,180"
2791,2010,NC,37,"Gastonia/Cleveland, Gaston, Lincoln Counties",Total Homeless,324
2803,2010,NC,37,Fayetteville/Cumberland County,Total Homeless,"1,033"
2815,2010,NC,37,Chapel Hill/Orange County,Total Homeless,135
2827,2010,NC,37,Northwest North Carolina,Total Homeless,345
2839,2010,ND,38,North Dakota Statewide,Total Homeless,799
2851,2010,NE,31,Nebraska Balance of State,Total Homeless,"1,540"
2863,2010,NE,31,Omaha/Council Bluffs,Total Homeless,"1,429"
2875,2010,NE,31,Lincoln,Total Homeless,908
2887,2010,NH,33,New Hampshire Balance of State,Total Homeless,813
2899,2010,NH,33,Manchester,Total Homeless,415
2911,2010,NH,33,Nashua/Hillsborough County,Total Homeless,346
2923,2010,NJ,34,Atlantic City & County,Total Homeless,588
2935,2010,NJ,34,Bergen County,Total Homeless,522
2947,2010,NJ,34,Burlington County,Total Homeless,716
2959,2010,NJ,34,"Camden City/Camden, Cumberland, Gloucester, Cape May Counties",Total Homeless,"1,572"
2971,2010,NJ,34,Newark/Essex County,Total Homeless,"1,716"
2983,2010,NJ,34,Jersey City/Bayonne/Hudson County,Total Homeless,"1,779"
2995,2010,NJ,34,New Brunswick/Middlesex County,Total Homeless,"1,535"
3007,2010,NJ,34,Monmouth County,Total Homeless,604
3019,2010,NJ,34,Morris County,Total Homeless,297
3031,2010,NJ,34,Lakewood Township/Ocean County,Total Homeless,590
3043,2010,NJ,34,Paterson/Passaic County,Total Homeless,698
3055,2010,NJ,34,Salem County,Total Homeless,146
3067,2010,NJ,34,Somerset County,Total Homeless,310
3079,2010,NJ,34,Trenton/Mercer County,Total Homeless,901
3091,2010,NJ,34,Elizabeth/Union County,Total Homeless,"1,212"
3103,2010,NJ,34,"Warren, Sussex, Hunterdon Counties",Total Homeless,551
3115,2010,NM,35,Albuquerque,Total Homeless,"2,002"
3127,2010,NM,35,New Mexico Balance of State,Total Homeless,"1,473"
3139,2010,NV,32,Las Vegas/Clark County,Total Homeless,"9,949"
3151,2010,NV,32,Reno/Sparks/Washoe County,Total Homeless,934
3163,2010,NV,32,Nevada Balance of State,Total Homeless,322
3175,2010,NY,36,Rochester/Irondequoit/Greece/Monroe County,Total Homeless,709
3187,2010,NY,36,"Elmira/Steuben, Allegany, Livingston, Chemung, Schuyler Counties",Total Homeless,256
3199,2010,NY,36,Albany City & County,Total Homeless,650
3211,2010,NY,36,Cattaragus County,Total Homeless,118
3223,2010,NY,36,"Syracuse, Auburn/Onondaga, Oswego, Cayuga Counties",Total Homeless,840
3235,2010,NY,36,"Fulton, Montgomery, Schoharie Counties",Total Homeless,19
3247,2010,NY,36,Schenectady City & County,Total Homeless,389
3259,2010,NY,36,"Buffalo, Niagara Falls/Erie, Niagara, Orleans, Genesee, Wyoming Counties",Total Homeless,"1,137"
3271,2010,NY,36,Ithaca/Tompkins County,Total Homeless,73
3283,2010,NY,36,"Binghamton, Union/Broome, Otsego, Chenango, Delaware, Cortland, Tioga Counties C",Total Homeless,234
3295,2010,NY,36,Troy/Rensselaer County,Total Homeless,314
3307,2010,NY,36,"Wayne, Ontario, Seneca, Yates Counties",Total Homeless,75
3319,2010,NY,36,Jamestown/Dunkirk/Chautauqua County,Total Homeless,88
3331,2010,NY,36,Clinton County,Total Homeless,84
3343,2010,NY,36,"Utica/Rome/Oneida, Madison Counties",Total Homeless,343
3355,2010,NY,36,Columbia/Greene County,Total Homeless,305
3367,2010,NY,36,Franklin County,Total Homeless,14
3379,2010,NY,36,Jefferson/Lewis/St. Lawrence Counties,Total Homeless,121
3391,2010,NY,36,"Glens Falls/Saratoga Springs/Saratoga, Washington, Warren, Hamilton Counties",Total Homeless,186
3403,2010,NY,36,New York City,Total Homeless,"53,187"
3415,2010,NY,36,Poughkeepsie/Dutchess County,Total Homeless,476
3427,2010,NY,36,Newburgh/Middletown/Orange County,Total Homeless,505
3439,2010,NY,36,"Nassau, Suffolk Counties/Babylon/Islip/ Huntington",Total Homeless,"3,163"
3451,2010,NY,36,Yonkers/Mount Vernon/New Rochelle/Westchester,Total Homeless,"1,339"
3463,2010,NY,36,Rockland County,Total Homeless,141
3475,2010,NY,36,Sullivan County,Total Homeless,400
3487,2010,NY,36,Kingston/Ulster County,Total Homeless,440
3499,2010,OH,39,Cincinnati/Hamilton County,Total Homeless,"1,006"
3511,2010,OH,39,Toledo/Lucas County,Total Homeless,986
3523,2010,OH,39,Cleveland/Cuyahoga County,Total Homeless,"2,278"
3535,2010,OH,39,Columbus/Franklin County,Total Homeless,"1,387"
3547,2010,OH,39,Youngstown/Mahoning County,Total Homeless,183
3559,2010,OH,39,Dayton/Kettering/Montgomery County,Total Homeless,884
3571,2010,OH,39,Akron/Barberton/Summit County,Total Homeless,859
3583,2010,OH,39,Ohio Balance of State,Total Homeless,"4,555"
3595,2010,OH,39,Canton/Massillon/Alliance/Stark County,Total Homeless,431
3607,2010,OK,40,North Central Oklahoma,Total Homeless,323
3619,2010,OK,40,Tulsa City & County/Broken Arrow,Total Homeless,905
3631,2010,OK,40,Oklahoma City,Total Homeless,"1,128"
3643,2010,OK,40,Oklahoma Balance of State,Total Homeless,324
3655,2010,OK,40,Norman/Cleveland County,Total Homeless,565
3667,2010,OK,40,Northeast Oklahoma,Total Homeless,567
3679,2010,OK,40,Southwest Oklahoma Regional,Total Homeless,272
3691,2010,OK,40,Southeastern Oklahoma Regional,Total Homeless,"1,145"
3703,2010,OR,41,Eugene/Springfield/Lane County,Total Homeless,"2,580"
3715,2010,OR,41,Portland-Gresham-Multnomah County,Total Homeless,"4,235"
3727,2010,OR,41,Medford/Ashland/Jackson County,Total Homeless,922
3739,2010,OR,41,Central Oregon,Total Homeless,569
3751,2010,OR,41,Oregon Balance of State,Total Homeless,"8,814"
3763,2010,OR,41,Hillsboro/Beaverton/Washington County,Total Homeless,950
3775,2010,OR,41,Clackamas County,Total Homeless,"1,422"
3787,2010,PA,42,Philadelphia,Total Homeless,"6,084"
3799,2010,PA,42,Harrisburg/Dauphin County,Total Homeless,394
3811,2010,PA,42,Upper Darby/Chester/Haverford/Delaware County,Total Homeless,716
3823,2010,PA,42,Wilkes-Barre/Hazleton/Luzerne County,Total Homeless,201
3835,2010,PA,42,Lower Marion/Norristown/Abington/Montgomery County,Total Homeless,428
3847,2010,PA,42,Chester County,Total Homeless,319
3859,2010,PA,42,Reading/Berks County,Total Homeless,513
3871,2010,PA,42,Scranton/Lackawanna County,Total Homeless,285
3883,2010,PA,42,Eastern Pennsylvania,Total Homeless,"1,895"
3895,2010,PA,42,Lancaster City & County,Total Homeless,602
3907,2010,PA,42,Bristol/Bensalem/Bucks County,Total Homeless,474
3919,2010,PA,42,Pittsburgh/McKeesport/Penn Hills/Allegheny County,Total Homeless,"1,265"
3931,2010,PA,42,Western Pennsylvania,Total Homeless,910
3943,2010,PA,42,Beaver County,Total Homeless,134
3955,2010,PA,42,Erie City & County,Total Homeless,296
3967,2010,RI,44,Rhode Island Statewide,Total Homeless,"1,282"
3979,2010,SC,45,Charleston/Low Country,Total Homeless,416
3991,2010,SC,45,Greenville/Anderson/Spartanburg Upstate,Total Homeless,"1,164"
4003,2010,SC,45,Columbia/Midlands,Total Homeless,"1,368"
4015,2010,SC,45,Myrtle Beach/Sumter City & County,Total Homeless,"1,525"
4027,2010,SD,46,South Dakota Statewide,Total Homeless,731
4039,2010,TN,47,Chattanooga/Southeast Tennessee,Total Homeless,622
4051,2010,TN,47,Memphis/Shelby County,Total Homeless,"1,657"
4063,2010,TN,47,Knoxville/Knox County,Total Homeless,910
4075,2010,TN,47,Central Tennessee,Total Homeless,177
4087,2010,TN,47,Nashville/Davidson County,Total Homeless,"2,324"
4099,2010,TN,47,Oak Ridge/Upper Cumberland,Total Homeless,635
4111,2010,TN,47,Jackson/West Tennessee,Total Homeless,"2,050"
4123,2010,TN,47,Appalachian Regional,Total Homeless,840
4135,2010,TN,47,Murfreesboro/Rutherford County,Total Homeless,219
4147,2010,TN,47,"Morristown/Blount, Sevier, Campbell, Cocke Counties",Total Homeless,842
4159,2010,TX,48,San Antonio/Bexar County,Total Homeless,"3,291"
4171,2010,TX,48,Austin/Travis County,Total Homeless,"2,087"
4183,2010,TX,48,Dallas City & County/Irving,Total Homeless,"3,710"
4195,2010,TX,48,Fort Worth/Arlington/Tarrant County,Total Homeless,"2,181"
4207,2010,TX,48,El Paso City & County,Total Homeless,"1,260"
4219,2010,TX,48,Waco/McLennan County,Total Homeless,312
4231,2010,TX,48,Texas Balance of State (BoS),Total Homeless,"14,827"
4243,2010,TX,48,Amarillo,Total Homeless,578
4255,2010,TX,48,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties",Total Homeless,242
4267,2010,TX,48,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties",Total Homeless,"6,368"
4279,2010,TX,48,Bryan/College Station/Brazos Valley,Total Homeless,265
4291,2010,UT,49,Salt Lake City & County,Total Homeless,"1,968"
4303,2010,UT,49,Utah Balance of State,Total Homeless,952
4315,2010,UT,49,Provo/Mountainland,Total Homeless,364
4327,2010,VA,51,"Richmond/Henrico, Chesterfield, Hanover Counties",Total Homeless,"1,012"
4339,2010,VA,51,"Norfolk/Chesapeake/Suffolk/Isle of Wright, Southampton Counties",Total Homeless,625
4351,2010,VA,51,Roanoke City & County/Salem,Total Homeless,518
4363,2010,VA,51,Virginia Beach,Total Homeless,517
4375,2010,VA,51,Charlottesville,Total Homeless,228
4387,2010,VA,51,Newport News/Hampton/Virginia Peninsula,Total Homeless,607
4399,2010,VA,51,Portsmouth,Total Homeless,210
4411,2010,VA,51,Lynchburg,Total Homeless,255
4423,2010,VA,51,"Harrisburg, Winchester/Western Virginia",Total Homeless,448
4435,2010,VA,51,"Fredericksburg/Spotsylvania, Stafford Counties",Total Homeless,288
4447,2010,VA,51,Virginia Balance of State (BoS),Total Homeless,"1,261"
4459,2010,VA,51,Arlington County,Total Homeless,535
4471,2010,VA,51,Fairfax County,Total Homeless,"1,552"
4483,2010,VA,51,Loudoun County,Total Homeless,157
4495,2010,VA,51,City of Alexandria,Total Homeless,359
4507,2010,VA,51,Prince William County,Total Homeless,508
4519,2010,VT,50,Vermont Balance of State,Total Homeless,607
4531,2010,VT,50,Burlington/Chittenden County,Total Homeless,613
4543,2010,WA,53,Seattle/King County,Total Homeless,"9,022"
4555,2010,WA,53,Washington Balance of State,Total Homeless,"7,178"
4567,2010,WA,53,Spokane City & County,Total Homeless,"1,242"
4579,2010,WA,53,Tacoma/Lakewood/Pierce County,Total Homeless,"1,807"
4591,2010,WA,53,Everett/Snohomish County,Total Homeless,"2,018"
4603,2010,WA,53,Yakima City & County,Total Homeless,507
4615,2010,WA,53,Vancouver/Clark County,Total Homeless,"1,104"
4627,2010,WI,55,Wisconsin Balance of State,Total Homeless,"3,992"
4639,2010,WI,55,Milwaukee City & County,Total Homeless,"1,537"
4651,2010,WI,55,Racine City & County,Total Homeless,236
4663,2010,WI,55,Madison/Dane County,Total Homeless,568
4675,2010,WV,54,Wheeling/Weirton Area,Total Homeless,197
4687,2010,WV,54,"Huntington/Cabell, Wayne Counties",Total Homeless,286
4699,2010,WV,54,"Charleston/Kanawha, Putnam, Boone, Clay Counties",Total Homeless,406
4711,2010,WV,54,West Virginia Balance of State,Total Homeless,"1,375"
4723,2010,WY,56,Wyoming Statewide,Total Homeless,579
4741,2011,AK,2,Anchorage,Total Homeless,"1,223"
4762,2011,AK,2,Alaska Balance of State,Total Homeless,905
4783,2011,AL,1,"Birmingham/Jefferson, St. Clair, Shelby Counties",Total Homeless,"1,950"
4804,2011,AL,1,Mobile City & County/Baldwin County,Total Homeless,718
4825,2011,AL,1,Florence/Northwest Alabama,Total Homeless,244
4846,2011,AL,1,Huntsville/North Alabama,Total Homeless,656
